image_path,label_path,source_dataset,source_video,location,split,has_pothole,bbox_count
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000103.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000103.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000110.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000110.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000113.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000113.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000125.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000125.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000127.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000127.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000138.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000138.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000140.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000140.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000147.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000147.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000148.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000148.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000203.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000203.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000208.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000208.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000210.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000210.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000229.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000229.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000234.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000234.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000236.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000236.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000277.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000277.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000296.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000296.txt,RDD2022,,China_MotorBike,train,1,3
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000304.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000304.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000316.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000316.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000322.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000322.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000323.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000323.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000328.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000328.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000334.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000334.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000336.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000336.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000337.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000337.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000343.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000343.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000350.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000350.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000351.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000351.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000355.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000355.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000357.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000357.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000363.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000363.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000400.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000400.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000402.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000402.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000403.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000403.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000406.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000406.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000407.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000407.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000408.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000408.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000413.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000413.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000415.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000415.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000418.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000418.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000419.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000419.txt,RDD2022,,China_MotorBike,train,1,3
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000420.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000420.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000422.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000422.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000426.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000426.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000433.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000433.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000448.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000448.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000453.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000453.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000456.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000456.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000468.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000468.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000473.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000473.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000482.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000482.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000495.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000495.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000507.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000507.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000518.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000518.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000523.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000523.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000524.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000524.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000532.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000532.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000542.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000542.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000575.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000575.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000582.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000582.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000601.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000601.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000619.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000619.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000640.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000640.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000648.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000648.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000651.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000651.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000675.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000675.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000681.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000681.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000684.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000684.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000690.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000690.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000692.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000692.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000704.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000704.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000709.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000709.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000723.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000723.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000752.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000752.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000754.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000754.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000755.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000755.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000761.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000761.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000769.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000769.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000801.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000801.txt,RDD2022,,China_MotorBike,train,1,3
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000811.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000811.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000816.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000816.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000824.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000824.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000830.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000830.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000841.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000841.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000853.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000853.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000854.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000854.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000856.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000856.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000882.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000882.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000902.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000902.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000908.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000908.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000913.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000913.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000921.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000921.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000957.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000957.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000964.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000964.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000971.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000971.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000976.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000976.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000982.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000982.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000985.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000985.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000990.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000990.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000991.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000991.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000996.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000996.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000997.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000997.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001001.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001001.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001002.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001002.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001015.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001015.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001016.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001016.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001019.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001019.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001033.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001033.txt,RDD2022,,China_MotorBike,train,1,3
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001038.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001038.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001041.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001041.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001044.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001044.txt,RDD2022,,China_MotorBike,train,1,3
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001045.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001045.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001047.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001047.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001050.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001050.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001052.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001052.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001059.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001059.txt,RDD2022,,China_MotorBike,train,1,3
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001061.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001061.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001066.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001066.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001073.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001073.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001081.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001081.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001084.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001084.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001090.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001090.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001094.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001094.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001097.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001097.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001101.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001101.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001107.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001107.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001110.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001110.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001115.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001115.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001119.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001119.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001137.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001137.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001139.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001139.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001152.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001152.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001162.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001162.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001170.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001170.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001176.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001176.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001183.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001183.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001189.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001189.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001191.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001191.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001196.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_001196.txt,RDD2022,,China_MotorBike,train,1,1
