filename,width,height,blur_score,brightness,duplicate_group,status
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000350.jpg,512,512,14127.6404,149.3711,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000351.jpg,512,512,8516.2864,155.1659,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000355.jpg,512,512,3300.4397,143.1851,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000357.jpg,512,512,7705.4175,145.7063,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000363.jpg,512,512,10405.2172,153.2058,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000400.jpg,512,512,7606.1214,148.2362,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000402.jpg,512,512,2698.0812,146.4294,dup-00003,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000403.jpg,512,512,9559.8172,151.0251,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000406.jpg,512,512,7136.3464,151.5547,dup-00008,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000407.jpg,512,512,5922.777,154.0749,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000408.jpg,512,512,10530.1151,153.7453,dup-00009,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000413.jpg,512,512,12421.3508,151.0888,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000415.jpg,512,512,10452.4871,151.2322,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000418.jpg,512,512,4712.0397,159.0206,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000419.jpg,512,512,7352.8268,145.5973,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000420.jpg,512,512,6252.1969,148.3508,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000422.jpg,512,512,7926.5722,144.9864,dup-00005,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000426.jpg,512,512,9617.5042,153.9964,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000433.jpg,512,512,2056.6053,156.865,dup-00010,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000448.jpg,512,512,6595.1295,142.9133,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000453.jpg,512,512,6518.5428,152.6701,dup-00011,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000456.jpg,512,512,8786.7117,154.1573,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000468.jpg,512,512,8526.0774,153.3307,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000473.jpg,512,512,3215.3334,147.4972,dup-00001,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000482.jpg,512,512,6565.8506,152.2753,dup-00004,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000495.jpg,512,512,8261.7286,143.6608,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000507.jpg,512,512,10097.3207,149.2976,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000518.jpg,512,512,5005.7985,145.5304,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000523.jpg,512,512,10214.0776,155.1112,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000524.jpg,512,512,2329.9878,146.5762,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000532.jpg,512,512,4919.5851,146.6768,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000542.jpg,512,512,7394.5165,137.0171,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000575.jpg,512,512,9155.4115,150.4591,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000582.jpg,512,512,3877.3593,146.2472,dup-00001,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000601.jpg,512,512,7696.2959,151.3338,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000619.jpg,512,512,5815.5562,142.7969,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000640.jpg,512,512,5803.1527,160.0251,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000648.jpg,512,512,7874.6658,141.0565,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000651.jpg,512,512,5629.792,157.3996,dup-00002,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000675.jpg,512,512,10987.809,157.3579,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000681.jpg,512,512,3136.2606,157.2181,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000684.jpg,512,512,9310.9722,154.077,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000690.jpg,512,512,3165.8891,158.206,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000692.jpg,512,512,10084.8353,155.0593,dup-00009,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000704.jpg,512,512,9425.0555,150.5442,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000709.jpg,512,512,11444.1201,148.8977,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000723.jpg,512,512,4580.7632,144.6259,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000752.jpg,512,512,3597.1963,157.2509,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000754.jpg,512,512,12528.2695,153.2013,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000755.jpg,512,512,6261.48,142.3928,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000761.jpg,512,512,12753.1649,152.2328,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000769.jpg,512,512,7926.9524,151.2587,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000801.jpg,512,512,7316.4891,150.318,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000811.jpg,512,512,2544.2553,155.9126,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000816.jpg,512,512,6871.0236,157.348,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000824.jpg,512,512,12044.2007,151.1103,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000830.jpg,512,512,7167.6697,157.8793,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000841.jpg,512,512,4676.9692,149.4975,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000853.jpg,512,512,12595.0581,149.3766,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000854.jpg,512,512,7442.8112,152.8597,dup-00002,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000856.jpg,512,512,6810.5448,151.5866,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000882.jpg,512,512,7710.9181,142.7086,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000902.jpg,512,512,8556.4137,146.9625,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000908.jpg,512,512,8866.3274,148.6002,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000913.jpg,512,512,9950.1486,159.7826,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000921.jpg,512,512,4769.6078,156.9134,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000957.jpg,512,512,2686.5064,146.932,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000964.jpg,512,512,6937.4319,151.3334,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000971.jpg,512,512,6797.0618,137.8112,dup-00006,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000976.jpg,512,512,7096.676,150.1558,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000982.jpg,512,512,14096.4728,152.0892,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000985.jpg,512,512,4796.3564,146.0739,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000990.jpg,512,512,8683.5956,146.1998,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000991.jpg,512,512,2740.1614,161.2871,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000996.jpg,512,512,3215.2656,154.9898,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000997.jpg,512,512,2277.0455,132.8743,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001001.jpg,512,512,7299.2084,147.5098,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001002.jpg,512,512,6238.2228,156.2409,dup-00002,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001015.jpg,512,512,3704.6465,144.1181,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001016.jpg,512,512,3382.4801,147.0279,dup-00001,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001019.jpg,512,512,3476.804,157.1549,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001033.jpg,512,512,7095.8104,142.5667,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001038.jpg,512,512,8766.0146,149.5753,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001041.jpg,512,512,2566.8481,145.9031,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001044.jpg,512,512,7859.8991,148.8884,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001045.jpg,512,512,8915.1811,155.1841,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001047.jpg,512,512,4083.3067,146.6891,dup-00001,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001050.jpg,512,512,4658.9752,148.0664,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001052.jpg,512,512,6491.9929,145.6087,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001059.jpg,512,512,9158.7065,150.5358,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001061.jpg,512,512,7950.8664,144.2795,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001066.jpg,512,512,7058.8319,150.6339,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001073.jpg,512,512,6699.2377,141.3145,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001081.jpg,512,512,7888.1052,150.5806,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001084.jpg,512,512,5872.5507,143.9178,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001090.jpg,512,512,8240.4165,144.4105,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001094.jpg,512,512,11902.7585,156.2333,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001097.jpg,512,512,10428.8432,155.6443,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001101.jpg,512,512,13867.933,152.4188,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001107.jpg,512,512,7414.7695,144.2074,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001110.jpg,512,512,10280.95,149.5104,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001115.jpg,512,512,6677.0691,152.1431,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001119.jpg,512,512,12674.8114,153.2136,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001137.jpg,512,512,4977.6667,150.6443,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001139.jpg,512,512,7692.2315,154.4267,dup-00008,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001152.jpg,512,512,3222.881,146.6931,dup-00001,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001162.jpg,512,512,7707.6282,156.7675,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001170.jpg,512,512,2494.7174,134.9981,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001176.jpg,512,512,8879.5467,148.7338,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001183.jpg,512,512,2395.9626,133.576,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001189.jpg,512,512,4965.0881,148.5349,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001191.jpg,512,512,11595.6756,146.0502,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001196.jpg,512,512,3520.6672,158.8836,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001204.jpg,512,512,5452.6818,144.2371,dup-00007,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001217.jpg,512,512,5734.6474,156.5796,dup-00002,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001233.jpg,512,512,7694.9679,144.7972,dup-00005,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001236.jpg,512,512,5884.2704,152.8566,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001246.jpg,512,512,6190.8952,138.281,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001247.jpg,512,512,4473.1233,156.2203,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001328.jpg,512,512,11876.401,135.4889,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001335.jpg,512,512,9731.1336,153.8029,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001338.jpg,512,512,9887.1336,149.5836,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001340.jpg,512,512,2574.9532,145.876,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001341.jpg,512,512,11293.9547,154.7662,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001345.jpg,512,512,8163.3076,153.5987,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001350.jpg,512,512,4825.8347,146.0775,dup-00012,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001360.jpg,512,512,3410.0159,156.9988,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001361.jpg,512,512,2110.5295,157.3647,dup-00010,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001366.jpg,512,512,13591.1035,148.9795,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001370.jpg,512,512,3420.9893,134.5094,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001385.jpg,512,512,5796.9296,144.2113,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001386.jpg,512,512,15981.3161,153.4321,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001390.jpg,512,512,16450.3033,150.0279,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001391.jpg,512,512,8437.711,154.3033,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001395.jpg,512,512,8063.1397,147.6903,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001398.jpg,512,512,2576.7533,157.0358,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001419.jpg,512,512,8623.9459,143.2435,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001423.jpg,512,512,8109.9157,153.5213,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001424.jpg,512,512,7839.123,147.5832,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001452.jpg,512,512,3355.4767,154.0218,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001460.jpg,512,512,3180.8723,146.1421,dup-00001,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001462.jpg,512,512,11298.1616,150.7051,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001467.jpg,512,512,3873.9235,146.8808,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001475.jpg,512,512,7108.109,153.9473,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001484.jpg,512,512,12628.3105,155.9956,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001491.jpg,512,512,5047.129,156.4436,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001501.jpg,512,512,12336.1861,152.4043,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001506.jpg,512,512,5599.4173,149.1475,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001508.jpg,512,512,3795.524,145.6468,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001516.jpg,512,512,9761.765,154.8924,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001520.jpg,512,512,3083.2344,155.1967,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001521.jpg,512,512,7394.2153,146.8273,dup-00005,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001527.jpg,512,512,2628.2127,134.3641,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001532.jpg,512,512,7826.4912,144.9463,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001535.jpg,512,512,2210.8465,145.543,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001537.jpg,512,512,5641.6341,143.7857,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001546.jpg,512,512,6808.7362,141.0872,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001605.jpg,512,512,5722.2589,156.8977,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001607.jpg,512,512,4009.1297,145.9551,dup-00001,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001610.jpg,512,512,8177.5926,150.7633,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001611.jpg,512,512,9073.4198,150.4615,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001617.jpg,512,512,9547.299,152.6617,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001655.jpg,512,512,8767.0918,150.1447,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001661.jpg,512,512,10621.2703,153.3177,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001662.jpg,512,512,8190.2762,154.0792,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001665.jpg,512,512,6958.6714,146.1516,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001673.jpg,512,512,12586.7559,150.5233,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001775.jpg,512,512,7218.8227,152.5134,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001794.jpg,512,512,11068.8581,153.7506,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001800.jpg,512,512,3297.9943,152.6629,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001805.jpg,512,512,5372.4755,155.0065,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001807.jpg,512,512,8759.374,152.3789,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001811.jpg,512,512,4414.3688,147.3434,dup-00012,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001815.jpg,512,512,6348.7483,142.212,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001816.jpg,512,512,4530.9422,159.5616,dup-00002,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001819.jpg,512,512,6062.4761,152.5073,dup-00011,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001823.jpg,512,512,9603.75,155.0143,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001824.jpg,512,512,9192.6935,150.8975,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001827.jpg,512,512,9026.4017,152.3618,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001829.jpg,512,512,4339.6677,156.169,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001839.jpg,512,512,6471.7691,152.6592,dup-00004,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001841.jpg,512,512,6349.5225,152.3334,dup-00004,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001842.jpg,512,512,6423.5886,138.376,dup-00006,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001846.jpg,512,512,9346.4117,153.756,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001853.jpg,512,512,7959.4708,155.1188,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001876.jpg,512,512,5145.6951,158.7473,dup-00002,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001888.jpg,512,512,2798.9685,145.8502,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001889.jpg,512,512,10564.9749,156.48,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001925.jpg,512,512,7794.2985,150.9629,dup-00002,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001945.jpg,512,512,6167.967,143.4977,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001962.jpg,512,512,9926.4821,153.664,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001965.jpg,512,512,8136.2509,146.336,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_001974.jpg,512,512,6937.0329,148.2915,,ok
